Date,Time,Type,Collection,Photo_suggestion,Caption,Hashtags,Grok_Video_Prompt
2026-05-15,08:00,Detail,green white,sixth green white jpg,"Irish organic salmon. Skin that spent its life in cold Atlantic water. Now this.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: green salmon leather in extreme detail, light catching scale edges, cold-toned editorial"
2026-05-15,13:00,Editorial,zebra,fourth zebra jpg,"Sustainability has a silhouette. This is it.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: zebra-pattern heel profiled in silhouette, backlit, slow rotation, minimal aesthetic"
2026-05-15,19:00,Story,bordeaux,_MG_8024.JPG,"The packaging is not packaging. It is the second object you receive. Both are keepsakes.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: riveted cardboard box detail, hands running along edge, then opening to reveal heel, slow motion"
2026-05-16,08:00,Detail,peacock,sixth peacock jpg,"Monitor lizard. A food animal in Southeast Asia. A luxury material everywhere else.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: lizard-scale leather texture, camera slowly pulls back to reveal heel form, warm tones"
2026-05-16,13:00,Editorial,yellow,fifth yellow jpg,"If you have to ask whether it is real, it is.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: yellow heel close detail, slow zoom to texture, then pull back to full editorial composition"
2026-05-16,19:00,Story,green white,seventh green white jpg,"Every piece is made to order. Your measurements. Your commission. One address in the world.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: hand measuring shoe last, then cutting leather, documentary to product reveal"
2026-05-17,08:00,Detail,xhigh,fifth xhigh jpg,"The higher the heel, the more precise the craft required. We do not do approximate.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: precision hand-stitching on heel, close-up of needle and thread, artisan craft aesthetic"
2026-05-17,13:00,Editorial,black gold,fifth black gold jpg,"Worn to a dinner where nothing else in the room was organic.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: black-gold heel in candlelit setting, ambient glow, slow close-up push-in, luxury dinner aesthetic"
2026-05-17,19:00,Story,peacock,seventh peacock jpg,"Mousse T held one of these in his hands and went quiet. Some things require silence.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: heel on velvet cloth, extreme close-up of texture, then slow pull back in silence, contemplative"
2026-05-18,08:00,Detail,zebra,fifth zebra jpg,"The pattern on this leather took three years to grow. The shoe took three weeks to make.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: zebra pattern leather, slow camera drift, textural detail revealed in raking light"
2026-05-18,13:00,Editorial,bordeaux,_MG_8033.JPG,"Red. Gold. Organic. Uncompromising.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: red-gold heel on dark reflective surface, reflection visible, dramatic single light source"
2026-05-18,19:00,Story,yellow,sixth yellow jpg,"We sourced the leather. We designed the form. We commissioned the craft. You wear the result.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: process montage — leather, sketch, hands, finished shoe, seamless editorial cut"
2026-05-19,08:00,Detail,green white,eighth green white jpg,"Zoom in. That texture is not printed. It is the natural grain of Atlantic salmon skin.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: salmon skin extreme close-up, individual scales visible, cold-toned Atlantic light feel"
2026-05-19,13:00,Editorial,xhigh,sixth xhigh jpg,"Not everyone should wear this heel. That is precisely why it exists.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: extreme heel from below, looking up the full length, model's leg disappearing into frame, powerful"
2026-05-19,19:00,Story,black gold,sixth black gold jpg,"Ostrich farms. Salmon farms. Tilapia farms. We did not kill for fashion. We used what was already there.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: nature imagery cutting to leather, then to finished shoe, documentary feel, quiet music"
2026-05-20,08:00,Detail,peacock,eighth peacock jpg,"This iridescence has a name in ornithology. In fashion, it has no equivalent.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: peacock leather color shift under moving light, camera stationary, light moves"
2026-05-20,13:00,Editorial,zebra,sixth zebra jpg,"Pattern. Structure. Restraint. Every stripe earned.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: zebra heel profiled against white, architectural composition, minimal editorial"
2026-05-20,19:00,Story,green white,ninth green white jpg,"The satin inside the box is handmade. The cardboard is unbleached. The rivet is raw metal. Every material has a reason.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: inside of box revealed slowly, satin texture, then heel placed inside, reverential slow motion"
2026-05-21,08:00,Detail,bordeaux,_MG_8034.JPG,"Three exotic leathers. One shoe. None of them came from a fashion farm.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: multi-leather surface on bordeaux heel, camera slides between material zones, editorial light"
2026-05-21,13:00,Editorial,yellow,seventh yellow jpg,"The woman who wears this already knows what the shoe is made of. She asked.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: yellow heel in hands being examined closely, then placed down decisively, confidence in motion"
2026-05-21,19:00,Story,peacock,ninth peacock jpg,"We were at Berlin Fashion Week before sustainable fashion was a category. We were just fashion.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: runway feel, heel walking in slow motion, ambient runway sound muted to silence"
2026-05-22,08:00,Detail,xhigh,seventh xhigh jpg,"The heel is 14 centimeters. Every millimeter is load-bearing. Every millimeter is deliberate.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: heel column base to tip, ruler visible briefly then removed, precision aesthetic"
2026-05-22,13:00,Editorial,black gold,seventh black gold jpg,"Black as a philosophy. Gold as its consequence.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: black-gold heel in extreme low light, gold catches single light source, darkness the context"
2026-05-22,19:00,Story,green white,tenth green white jpg,"We commissioned this heel in Switzerland. It was made in Germany. It left both countries a better object.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: cross-border craft feel, workshop in Germany, then finished shoe, clean editorial grade"
2026-05-23,08:00,Detail,zebra,seventh zebra jpg,"No chemical softeners. The leather is as the animal left it — with a decision made on top.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: zebra leather natural texture, unprocessed feel, raking light reveals grain"
2026-05-23,13:00,Editorial,bordeaux,_MG_8035.JPG,"The heel that IN SHOES Magazine could not stop photographing.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: editorial magazine-style shoot, bordeaux heel in multiple dramatic angles, rapid cut slow-motion"
2026-05-23,19:00,Story,yellow,eighth yellow jpg,"If this heel were mass-produced, it would not be this heel. The scarcity is structural.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: single heel isolated on black surface, slow orbit, nothing else in frame, quiet luxury"
2026-05-24,08:00,Detail,peacock,tenth peacock jpg,"The upper, the sole edge, the box, the charm. Same leather. Complete circle.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: series of close-ups — upper, sole, box, charm tag — all same leather, revealed sequence"
2026-05-24,13:00,Editorial,xhigh,eighth xhigh jpg,"At this elevation, the question is not can you walk. The question is where are you going.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: heel from ground-level looking up, urban exterior or clean interior, powerful angle"
2026-05-24,19:00,Story,black gold,eighth black gold jpg,"We studied shoemaking in Eastern Europe from masters who no longer teach. This knowledge is in the shoe.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: old workshop tools, aged hands working leather, cross-fade to finished modern heel"
2026-05-25,08:00,Detail,green white,eleventh green white jpg,"The green comes from the organic tanning process, not from dye. You cannot replicate this in a factory.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: green leather tonal variation across surface, camera glides, no single focal point"
2026-05-25,13:00,Editorial,zebra,eighth zebra jpg,"She did not match her outfit to the shoe. The shoe was never going to match anything.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: zebra heel styled against plain clothing, intentional contrast, editorial composition"
2026-05-25,19:00,Story,bordeaux,_MG_8036.JPG,"We are not a brand that grew into sustainability. We were built from it. Since 2008.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: year 2008 text appears briefly, then archival shoe image, then current heel, timeline feel"
2026-05-26,08:00,Detail,peacock,eleventh peacock jpg,"Iridescence is a structural property of the material. Light does not color this leather. Light reveals it.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: stationary camera, light source moves to reveal shifting iridescent colors, scientific feel"
2026-05-26,13:00,Editorial,yellow,ninth yellow jpg,"Some women collect shoes. Some women commission them. The difference is everything.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: heel being held with intention, not placed — held, editorial hands, quiet confidence"
2026-05-26,19:00,Story,xhigh,ninth xhigh jpg,"The TU Berlin studied this shoe. We were the case study for sustainable fashion in Europe.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: academic/serious tone, heel on flat surface, title card feel, then close-up texture"
2026-05-27,08:00,Detail,black gold,ninth black gold jpg,"The gold is ostrich. The black is ray. Both are food-industry byproducts. Both are extraordinary.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: transition between black and gold leather zones, camera crosses the seam slowly"
2026-05-27,13:00,Editorial,bordeaux,_MG_8033.JPG,"80 percent of the commission is paid before the first cut is made. That is how rare this is.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: heel revealed from box, hands lifting it out carefully, luxury reveal ritual"
2026-05-27,19:00,Story,green white,twelfth green white jpg,"One pair. One woman. One address in the world where it will live. Commission open.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: heel placed in box, box closed, address label being written by hand, intimate moment"
2026-05-28,08:00,Detail,zebra,ninth zebra jpg,"This pattern took an animal its entire life to produce. We do not take that lightly.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: zebra leather extreme detail, reverent pace, natural light"
2026-05-28,13:00,Editorial,peacock,twelfth peacock jpg,"There is no second pair of this shoe anywhere on earth.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: single heel alone in large frame, vast negative space, absolute quiet luxury"
2026-05-28,19:00,Story,yellow,tenth yellow jpg,"We do not do seasons. We do not do collections. We do commissions. One at a time.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: sketch on paper, hands drawing, transition to finished heel, no rush"
2026-05-29,08:00,Detail,xhigh,tenth xhigh jpg,"The stitching along the vamp is done by hand. Twelve stitches per centimeter. Count them.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: extreme close-up stitching detail, camera follows single stitch line, tactile quality"
2026-05-29,13:00,Editorial,black gold,tenth black gold jpg,"The opposite of fast fashion is not slow fashion. It is considered fashion.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: heel in contemplative composition, long single shot, no movement, editorial patience"
2026-05-29,19:00,Story,bordeaux,_MG_8036.JPG,"This shoe will outlast every trend that exists today. That is not an accident.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: heel against aged background, timeless quality, warm archival tone"
2026-05-30,08:00,Detail,green white,thirteenth green white jpg,"Atlantic salmon skin has a scale geometry that no synthetic material can reproduce.",#highheels #sustainablefashion #luxuryfashion #exoticleather #heeltheworld,"10-sec macro: salmon scale geometry, geometric beauty revealed in macro, mathematical elegance"
2026-05-30,13:00,Editorial,zebra,tenth zebra jpg,"When the material is this rare, design is not decoration. Design is stewardship.",#highheels #luxuryfashion #womensfashion #handmadeshoes #greenglamor,"10-sec: zebra heel with designer's hands nearby, sense of authorship and responsibility"
2026-05-30,19:00,Story,peacock,thirteenth peacock jpg,"The commission is open. CHF 4000. One pair. Your specifications. Link in bio.",#sustainablefashion #luxuryfashion #highheels #organicleather #sustainableheels,"10-sec: heel turns slowly to face camera, final frame holds, then simple text appears: commission open"
